data_name,add_self_loop,n_layers,drop_edge,pari_norm,activations,test_acc
citeseer,False,5,0.3,False,tanh,0.506
citeseer,False,5,0.3,False,sigmoid,0.194
citeseer,False,5,0.5,True,relu,0.308
citeseer,False,5,0.5,True,tanh,0.395
citeseer,False,5,0.5,True,sigmoid,0.173
citeseer,False,5,0.5,False,relu,0.188
citeseer,False,5,0.5,False,tanh,0.399
citeseer,False,5,0.5,False,sigmoid,0.183
citeseer,False,10,0.0,True,relu,0.231
citeseer,False,10,0.0,True,tanh,0.517
citeseer,False,10,0.0,True,sigmoid,0.208
citeseer,False,10,0.0,False,relu,0.183
citeseer,False,10,0.0,False,tanh,0.416
citeseer,False,10,0.0,False,sigmoid,0.172
citeseer,False,10,0.1,True,relu,0.227
citeseer,False,10,0.1,True,tanh,0.458
citeseer,False,10,0.1,True,sigmoid,0.206
citeseer,False,10,0.1,False,relu,0.201
citeseer,False,10,0.1,False,tanh,0.207
citeseer,False,10,0.1,False,sigmoid,0.151
citeseer,False,10,0.2,True,relu,0.238
citeseer,False,10,0.2,True,tanh,0.397
citeseer,False,10,0.2,True,sigmoid,0.199
citeseer,False,10,0.2,False,relu,0.192
citeseer,False,10,0.2,False,tanh,0.207
citeseer,False,10,0.2,False,sigmoid,0.155
citeseer,False,10,0.3,True,relu,0.182
citeseer,False,10,0.3,True,tanh,0.406
citeseer,False,10,0.3,True,sigmoid,0.196
citeseer,False,10,0.3,False,relu,0.158
citeseer,False,10,0.3,False,tanh,0.193
citeseer,False,10,0.3,False,sigmoid,0.169
citeseer,False,10,0.5,True,relu,0.161
citeseer,False,10,0.5,True,tanh,0.327
citeseer,False,10,0.5,True,sigmoid,0.176
citeseer,False,10,0.5,False,relu,0.189
citeseer,False,10,0.5,False,tanh,0.231
citeseer,False,10,0.5,False,sigmoid,0.198
cora,True,1,0.0,True,relu,0.562
cora,True,1,0.0,True,tanh,0.562
cora,True,1,0.0,True,sigmoid,0.562
cora,True,1,0.0,False,relu,0.72
cora,True,1,0.0,False,tanh,0.72
cora,True,1,0.0,False,sigmoid,0.72
cora,True,1,0.1,True,relu,0.547
cora,True,1,0.1,True,tanh,0.547
cora,True,1,0.1,True,sigmoid,0.547
cora,True,1,0.1,False,relu,0.711
cora,True,1,0.1,False,tanh,0.711
cora,True,1,0.1,False,sigmoid,0.711
cora,True,1,0.2,True,relu,0.568
cora,True,1,0.2,True,tanh,0.568
cora,True,1,0.2,True,sigmoid,0.568
cora,True,1,0.2,False,relu,0.696
cora,True,1,0.2,False,tanh,0.696
cora,True,1,0.2,False,sigmoid,0.696
cora,True,1,0.3,True,relu,0.553
cora,True,1,0.3,True,tanh,0.553
cora,True,1,0.3,True,sigmoid,0.553
cora,True,1,0.3,False,relu,0.693
cora,True,1,0.3,False,tanh,0.693
cora,True,1,0.3,False,sigmoid,0.693
cora,True,1,0.5,True,relu,0.533
cora,True,1,0.5,True,tanh,0.533
cora,True,1,0.5,True,sigmoid,0.533
cora,True,1,0.5,False,relu,0.672
cora,True,1,0.5,False,tanh,0.672
cora,True,1,0.5,False,sigmoid,0.672
cora,True,2,0.0,True,relu,0.666
cora,True,2,0.0,True,tanh,0.686
cora,True,2,0.0,True,sigmoid,0.587
cora,True,2,0.0,False,relu,0.797
cora,True,2,0.0,False,tanh,0.792
cora,True,2,0.0,False,sigmoid,0.1
cora,True,2,0.1,True,relu,0.664
cora,True,2,0.1,True,tanh,0.684
cora,True,2,0.1,True,sigmoid,0.601
cora,True,2,0.1,False,relu,0.796
cora,True,2,0.1,False,tanh,0.789
cora,True,2,0.1,False,sigmoid,0.1
cora,True,2,0.2,True,relu,0.663
cora,True,2,0.2,True,tanh,0.666
cora,True,2,0.2,True,sigmoid,0.602
cora,True,2,0.2,False,relu,0.773
cora,True,2,0.2,False,tanh,0.776
cora,True,2,0.2,False,sigmoid,0.1
cora,True,2,0.3,True,relu,0.644
cora,True,2,0.3,True,tanh,0.654
cora,True,2,0.3,True,sigmoid,0.58
cora,True,2,0.3,False,relu,0.764
cora,True,2,0.3,False,tanh,0.756
cora,True,2,0.3,False,sigmoid,0.1
cora,True,2,0.5,True,relu,0.617
cora,True,2,0.5,True,tanh,0.626
cora,True,2,0.5,True,sigmoid,0.511
cora,True,2,0.5,False,relu,0.734
cora,True,2,0.5,False,tanh,0.742
cora,True,2,0.5,False,sigmoid,0.101
cora,True,3,0.0,True,relu,0.698
cora,True,3,0.0,True,tanh,0.691
cora,True,3,0.0,True,sigmoid,0.472
cora,True,3,0.0,False,relu,0.776
cora,True,3,0.0,False,tanh,0.779
cora,True,3,0.0,False,sigmoid,0.297
cora,True,3,0.1,True,relu,0.687
cora,True,3,0.1,True,tanh,0.683
cora,True,3,0.1,True,sigmoid,0.428
cora,True,3,0.1,False,relu,0.783
cora,True,3,0.1,False,tanh,0.761
cora,True,3,0.1,False,sigmoid,0.271
cora,True,3,0.2,True,relu,0.685
cora,True,3,0.2,True,tanh,0.687
cora,True,3,0.2,True,sigmoid,0.36
cora,True,3,0.2,False,relu,0.755
cora,True,3,0.2,False,tanh,0.757
cora,True,3,0.2,False,sigmoid,0.3
cora,True,3,0.3,True,relu,0.663
cora,True,3,0.3,True,tanh,0.671
cora,True,3,0.3,True,sigmoid,0.352
cora,True,3,0.3,False,relu,0.736
cora,True,3,0.3,False,tanh,0.743
cora,True,3,0.3,False,sigmoid,0.311
cora,True,3,0.5,True,relu,0.639
cora,True,3,0.5,True,tanh,0.622
cora,True,3,0.5,True,sigmoid,0.365
cora,True,3,0.5,False,relu,0.699
cora,True,3,0.5,False,tanh,0.714
cora,True,3,0.5,False,sigmoid,0.31
cora,True,5,0.0,True,relu,0.711
cora,True,5,0.0,True,tanh,0.711
cora,True,5,0.0,True,sigmoid,0.24
cora,True,5,0.0,False,relu,0.161
cora,True,5,0.0,False,tanh,0.746
cora,True,5,0.0,False,sigmoid,0.182
cora,True,5,0.1,True,relu,0.688
cora,True,5,0.1,True,tanh,0.682
cora,True,5,0.1,True,sigmoid,0.225
cora,True,5,0.1,False,relu,0.09
cora,True,5,0.1,False,tanh,0.735
cora,True,5,0.1,False,sigmoid,0.303
cora,True,5,0.2,True,relu,0.694
cora,True,5,0.2,True,tanh,0.683
cora,True,5,0.2,True,sigmoid,0.213
cora,True,5,0.2,False,relu,0.123
cora,True,5,0.2,False,tanh,0.734
cora,True,5,0.2,False,sigmoid,0.303
cora,True,5,0.3,True,relu,0.677
cora,True,5,0.3,True,tanh,0.637
cora,True,5,0.3,True,sigmoid,0.209
cora,True,5,0.3,False,relu,0.162
cora,True,5,0.3,False,tanh,0.723
cora,True,5,0.3,False,sigmoid,0.303
cora,True,5,0.5,True,relu,0.621
cora,True,5,0.5,True,tanh,0.622
cora,True,5,0.5,True,sigmoid,0.197
cora,True,5,0.5,False,relu,0.156
cora,True,5,0.5,False,tanh,0.653
cora,True,5,0.5,False,sigmoid,0.302
cora,True,10,0.0,True,relu,0.603
cora,True,10,0.0,True,tanh,0.607
cora,True,10,0.0,True,sigmoid,0.069
cora,True,10,0.0,False,relu,0.1
cora,True,10,0.0,False,tanh,0.667
cora,True,10,0.0,False,sigmoid,0.302
cora,True,10,0.1,True,relu,0.396
cora,True,10,0.1,True,tanh,0.622
cora,True,10,0.1,True,sigmoid,0.075
cora,True,10,0.1,False,relu,0.129
cora,True,10,0.1,False,tanh,0.665
cora,True,10,0.1,False,sigmoid,0.303
cora,True,10,0.2,True,relu,0.373
cora,True,10,0.2,True,tanh,0.633
cora,True,10,0.2,True,sigmoid,0.072
cora,True,10,0.2,False,relu,0.089
cora,True,10,0.2,False,tanh,0.639
cora,True,10,0.2,False,sigmoid,0.303
cora,True,10,0.3,True,relu,0.218
cora,True,10,0.3,True,tanh,0.453
cora,True,10,0.3,True,sigmoid,0.077
cora,True,10,0.3,False,relu,0.182
cora,True,10,0.3,False,tanh,0.574
cora,True,10,0.3,False,sigmoid,0.303
cora,True,10,0.5,True,relu,0.114
cora,True,10,0.5,True,tanh,0.299
cora,True,10,0.5,True,sigmoid,0.067
cora,True,10,0.5,False,relu,0.293
cora,True,10,0.5,False,tanh,0.16
cora,True,10,0.5,False,sigmoid,0.303
cora,False,1,0.0,True,relu,0.523
cora,False,1,0.0,True,tanh,0.523
cora,False,1,0.0,True,sigmoid,0.523
cora,False,1,0.0,False,relu,0.664
cora,False,1,0.0,False,tanh,0.664
cora,False,1,0.0,False,sigmoid,0.664
cora,False,1,0.1,True,relu,0.506
cora,False,1,0.1,True,tanh,0.506
cora,False,1,0.1,True,sigmoid,0.506
cora,False,1,0.1,False,relu,0.659
cora,False,1,0.1,False,tanh,0.659
cora,False,1,0.1,False,sigmoid,0.659
cora,False,1,0.2,True,relu,0.491
cora,False,1,0.2,True,tanh,0.491
cora,False,1,0.2,True,sigmoid,0.491
cora,False,1,0.2,False,relu,0.633
cora,False,1,0.2,False,tanh,0.633
cora,False,1,0.2,False,sigmoid,0.633
cora,False,1,0.3,True,relu,0.499
